species,w_max,w_mat,w_min,f0, beta,sigma,a,b,R_max,k_vb,age_mat
AMERICAN PLAICE,4741.968385,137.9806567,0.001,0.6,28852.39,1.3,0.00645654,3.059999943,306240.0723,0.17,6.429999828
COD(ATLANTIC),82636.56013,2780.285169,0.001,0.6,399.85,1.3,0.00676083,3.079999924,4209.607979,0.24,6.179999828
HERRING(ATLANTIC),721.8156165,121.7985162,0.001,0.6,6841.38,1.3,0.00562341,3.089999914,5156566.102,0.32,3
ATLANTIC HALIBUT,1.62E+06,6917.761406,0.001,0.6,2317.98,1.3,0.00549541,3.170000076,48.32526414,0.02,5.900000095
REDFISH UNSEPARATED,1752.52906,153.7584879,0.001,0.6,823.95,1.3,0.0102329,3.130000114,1363019.778,0.151,5.5
"TURBOT, GREENLAND HALIBUT",11804.3671,1944.720904,0.001,0.6,4454.71,1.3,0.00363078,3.190000057,77971.50905,0.09,9
HADDOCK,13539.13924,376.4689477,0.001,0.6,427.49,1.3,0.00660693,3.079999924,63476.56511,0.33,2.799999952
SANDLANCES,43.91117143,1.935289717,0.001,0.6,50509.04,1.3,0.00204174,3.160000086,343666710.1,0.372,1.5
SILVER HAKE,3383.218069,81.11256927,0.001,0.6,250.72,1.3,0.0047863,3.109999895,508165.3078,0.28,1.650000036
SPINY DOGFISH,16931.27217,1926.156227,62.823,0.6,736.96,1.3,0.00275423,3.079999924,45390.56758,0.99,10
WHITE HAKE,20481.945,272.5404634,0.001,0.6,411.05,1.3,0.00398107,3.160000086,34114.82962,0.106,1.399999976
WITCH FLOUNDER,1369.952574,145.9437628,0.001,0.6,3568.58,1.3,0.00457088,3.079999924,1972157.978,0.111,4.5
YELLOWTAIL FLOUNDER,2426.456051,150.9489831,0.001,0.6,2048.79,1.3,0.00691831,3.069999933,836645.2613,0.111,2.599999905