species,gear,sel_func,knife_edge_size,catchability
AMERICAN PLAICE,AMERICAN PLAICE,knife_edge,137.9806567,1
COD(ATLANTIC),COD(ATLANTIC),knife_edge,2780.285169,1
HERRING(ATLANTIC),HERRING(ATLANTIC),knife_edge,121.7985162,1
ATLANTIC HALIBUT,ATLANTIC HALIBUT,knife_edge,6917.761406,1
REDFISH UNSEPARATED,REDFISH UNSEPARATED,knife_edge,153.7584879,1
"TURBOT, GREENLAND HALIBUT","TURBOT, GREENLAND HALIBUT",knife_edge,1944.720904,1
HADDOCK,HADDOCK,knife_edge,376.4689477,1
SANDLANCES,SANDLANCES,knife_edge,1.935289717,1
SILVER HAKE,SILVER HAKE,knife_edge,81.11256927,1
SPINY DOGFISH,SPINY DOGFISH,knife_edge,1926.156227,1
WHITE HAKE,WHITE HAKE,knife_edge,272.5404634,1
WITCH FLOUNDER,WITCH FLOUNDER,knife_edge,145.9437628,1
YELLOWTAIL FLOUNDER,YELLOWTAIL FLOUNDER,knife_edge,150.9489831,1