"Year","Species","Weight"
1970,"AMERICAN PLAICE",136.732431140618
1971,"AMERICAN PLAICE",154.444370712764
1972,"AMERICAN PLAICE",140.925614178419
1973,"AMERICAN PLAICE",175.009273577399
1974,"AMERICAN PLAICE",137.435339424678
1975,"AMERICAN PLAICE",168.816998006425
1976,"AMERICAN PLAICE",195.966637955953
1977,"AMERICAN PLAICE",184.962211451479
1978,"AMERICAN PLAICE",156.047813319289
1979,"AMERICAN PLAICE",158.774026857852
1980,"AMERICAN PLAICE",199.553588943716
1981,"AMERICAN PLAICE",208.410411468106
1982,"AMERICAN PLAICE",153.273591698441
1983,"AMERICAN PLAICE",154.722982184541
1984,"AMERICAN PLAICE",130.215250543415
1985,"AMERICAN PLAICE",173.992141304125
1986,"AMERICAN PLAICE",117.65808470985
1987,"AMERICAN PLAICE",151.214992947334
1988,"AMERICAN PLAICE",134.183969762689
1989,"AMERICAN PLAICE",159.031564989965
1990,"AMERICAN PLAICE",125.829149227579
1991,"AMERICAN PLAICE",111.460295169054
1992,"AMERICAN PLAICE",137.90759152322
1993,"AMERICAN PLAICE",113.827634609598
1994,"AMERICAN PLAICE",83.907388245794
1995,"AMERICAN PLAICE",78.6747807149272
1996,"AMERICAN PLAICE",78.2325066905745
1997,"AMERICAN PLAICE",83.8738671583048
1998,"AMERICAN PLAICE",84.1169823625242
1999,"AMERICAN PLAICE",86.9764405100858
2000,"AMERICAN PLAICE",96.3951532623864
2001,"AMERICAN PLAICE",74.2317212548953
2002,"AMERICAN PLAICE",88.7464982542459
2003,"AMERICAN PLAICE",100.601582458841
2004,"AMERICAN PLAICE",84.9270064344096
2005,"AMERICAN PLAICE",75.2860446751874
2006,"AMERICAN PLAICE",129.200100900556
2007,"AMERICAN PLAICE",93.5541845692764
2008,"AMERICAN PLAICE",84.2143759271766
2009,"AMERICAN PLAICE",92.6771429828806
2010,"AMERICAN PLAICE",88.2320719357828
1970,"ATLANTIC COD",578.167136176
1971,"ATLANTIC COD",603.76213343134
1972,"ATLANTIC COD",551.131550657068
1973,"ATLANTIC COD",573.65697558325
1974,"ATLANTIC COD",367.996273312201
1975,"ATLANTIC COD",527.357265794845
1976,"ATLANTIC COD",544.664023842701
1977,"ATLANTIC COD",877.873465816214
1978,"ATLANTIC COD",857.074207150934
1979,"ATLANTIC COD",673.15870660424
1980,"ATLANTIC COD",1041.37787006412
1981,"ATLANTIC COD",855.510222706534
1982,"ATLANTIC COD",436.343849133574
1983,"ATLANTIC COD",362.353791077392
1984,"ATLANTIC COD",841.997091207111
1985,"ATLANTIC COD",773.620315665118
1986,"ATLANTIC COD",905.871363422349
1987,"ATLANTIC COD",742.682715007234
1988,"ATLANTIC COD",795.138990236802
1989,"ATLANTIC COD",704.740621128043
1990,"ATLANTIC COD",473.938172886062
1991,"ATLANTIC COD",472.000352458371
1992,"ATLANTIC COD",305.974406076499
1993,"ATLANTIC COD",555.040200612075
1994,"ATLANTIC COD",472.532899758208
1995,"ATLANTIC COD",476.753287199729
1996,"ATLANTIC COD",374.533024816908
1997,"ATLANTIC COD",450.989543499794
1998,"ATLANTIC COD",535.655945604365
1999,"ATLANTIC COD",277.570814008709
2000,"ATLANTIC COD",353.548030136043
2001,"ATLANTIC COD",260.507055795589
2002,"ATLANTIC COD",482.293826467157
2003,"ATLANTIC COD",395.067666160364
2004,"ATLANTIC COD",291.904224460347
2005,"ATLANTIC COD",246.501995949818
2006,"ATLANTIC COD",348.727599707277
2007,"ATLANTIC COD",484.60356854436
2008,"ATLANTIC COD",345.262480827929
2009,"ATLANTIC COD",676.905441275798
2010,"ATLANTIC COD",590.955310571893
1970,"ATLANTIC HALIBUT",1778.62669489209
1971,"ATLANTIC HALIBUT",3770.23655265152
1972,"ATLANTIC HALIBUT",1017.08054344496
1973,"ATLANTIC HALIBUT",1614.88346682822
1974,"ATLANTIC HALIBUT",2339.32699854908
1975,"ATLANTIC HALIBUT",979.830519574973
1976,"ATLANTIC HALIBUT",2810.59466736477
1977,"ATLANTIC HALIBUT",1950.4012091448
1978,"ATLANTIC HALIBUT",5861.55430387263
1979,"ATLANTIC HALIBUT",3765.65632663524
1980,"ATLANTIC HALIBUT",2249.59019548483
1981,"ATLANTIC HALIBUT",3964.66387418047
1982,"ATLANTIC HALIBUT",2576.00865011726
1983,"ATLANTIC HALIBUT",3054.27280806201
1984,"ATLANTIC HALIBUT",5817.7189293989
1985,"ATLANTIC HALIBUT",1875.34604804022
1986,"ATLANTIC HALIBUT",555.404695319083
1987,"ATLANTIC HALIBUT",1425.24454722962
1988,"ATLANTIC HALIBUT",977.84455904912
1989,"ATLANTIC HALIBUT",2417.80812989767
1990,"ATLANTIC HALIBUT",2167.5864936752
1991,"ATLANTIC HALIBUT",1645.47205217185
1992,"ATLANTIC HALIBUT",3328.82112621556
1993,"ATLANTIC HALIBUT",4709.17266460061
1994,"ATLANTIC HALIBUT",2317.39124197135
1995,"ATLANTIC HALIBUT",3266.97739845907
1996,"ATLANTIC HALIBUT",2800.14353086479
1997,"ATLANTIC HALIBUT",1846.0427935506
1998,"ATLANTIC HALIBUT",3455.96499157227
1999,"ATLANTIC HALIBUT",1848.97010154143
2000,"ATLANTIC HALIBUT",3408.68973831498
2001,"ATLANTIC HALIBUT",1651.04862502446
2002,"ATLANTIC HALIBUT",6726.90760027754
2003,"ATLANTIC HALIBUT",2493.15492196747
2004,"ATLANTIC HALIBUT",1751.14306889848
2005,"ATLANTIC HALIBUT",4555.10474670666
2006,"ATLANTIC HALIBUT",3525.67745213857
2007,"ATLANTIC HALIBUT",5257.87821326472
2008,"ATLANTIC HALIBUT",2587.94434979344
2009,"ATLANTIC HALIBUT",3075.64842564405
2010,"ATLANTIC HALIBUT",2101.37789618494
1970,"GREENLAND HALIBUT",375.830417294634
1971,"GREENLAND HALIBUT",334.032920668274
1972,"GREENLAND HALIBUT",1243.26438072005
1973,"GREENLAND HALIBUT",92.9394144069857
1974,"GREENLAND HALIBUT",133.470513690762
1975,"GREENLAND HALIBUT",216.455254943056
1976,"GREENLAND HALIBUT",405.989379023323
1977,"GREENLAND HALIBUT",1046.98362307008
1978,"GREENLAND HALIBUT",2356.06314993499
1979,"GREENLAND HALIBUT",913.784084083797
1980,"GREENLAND HALIBUT",1910.3504786836
1981,"GREENLAND HALIBUT",3531.5624624347
1982,"GREENLAND HALIBUT",162.242618913257
1983,"GREENLAND HALIBUT",124.922149085984
1984,"GREENLAND HALIBUT",82.1237108694838
1985,"GREENLAND HALIBUT",280.527907533715
1986,"GREENLAND HALIBUT",251.271158561217
1987,"GREENLAND HALIBUT",274.69377456126
1988,"GREENLAND HALIBUT",221.200254332684
1989,"GREENLAND HALIBUT",302.696291651832
1990,"GREENLAND HALIBUT",243.490889953761
1991,"GREENLAND HALIBUT",237.995257779934
1992,"GREENLAND HALIBUT",236.588775420465
1993,"GREENLAND HALIBUT",179.519976453969
1994,"GREENLAND HALIBUT",81.2257245777828
1995,"GREENLAND HALIBUT",233.267389981585
1996,"GREENLAND HALIBUT",97.9677864720547
1997,"GREENLAND HALIBUT",237.894916098762
1998,"GREENLAND HALIBUT",275.070591456697
1999,"GREENLAND HALIBUT",469.777944481801
2000,"GREENLAND HALIBUT",173.656541226185
2001,"GREENLAND HALIBUT",342.776893517807
2002,"GREENLAND HALIBUT",202.937792964424
2003,"GREENLAND HALIBUT",112.686962480292
2004,"GREENLAND HALIBUT",304.712026142054
2005,"GREENLAND HALIBUT",165.085336784121
2006,"GREENLAND HALIBUT",174.577041085199
2007,"GREENLAND HALIBUT",220.169173620465
2008,"GREENLAND HALIBUT",340.178990712245
2009,"GREENLAND HALIBUT",231.570741597786
2010,"GREENLAND HALIBUT",420.137162415534
1970,"HADDOCK",597.933827052088
1971,"HADDOCK",456.113842026508
1972,"HADDOCK",448.798390861514
1973,"HADDOCK",568.426694877902
1974,"HADDOCK",677.201283032831
1975,"HADDOCK",476.417843975326
1976,"HADDOCK",374.566420944864
1977,"HADDOCK",461.83768585669
1978,"HADDOCK",417.208048635004
1979,"HADDOCK",655.204789954137
1980,"HADDOCK",737.998272191155
1981,"HADDOCK",259.372532131909
1982,"HADDOCK",301.61592110889
1983,"HADDOCK",282.901802584828
1984,"HADDOCK",526.987586403857
1985,"HADDOCK",540.329279748273
1986,"HADDOCK",653.935256342523
1987,"HADDOCK",611.919406411092
1988,"HADDOCK",519.11855877877
1989,"HADDOCK",341.466849354171
1990,"HADDOCK",486.1859763625
1991,"HADDOCK",556.563531495109
1992,"HADDOCK",568.362782026399
1993,"HADDOCK",446.116891426806
1994,"HADDOCK",351.451025045357
1995,"HADDOCK",386.784806558246
1996,"HADDOCK",278.062356048443
1997,"HADDOCK",315.357259806017
1998,"HADDOCK",354.747461193201
1999,"HADDOCK",94.3693586826473
2000,"HADDOCK",171.340358458686
2001,"HADDOCK",252.449932200337
2002,"HADDOCK",293.247164756848
2003,"HADDOCK",311.682588564642
2004,"HADDOCK",379.631439082398
2005,"HADDOCK",407.117390609883
2006,"HADDOCK",358.16284537685
2007,"HADDOCK",354.46345745515
2008,"HADDOCK",485.996482238497
2009,"HADDOCK",530.242062190058
2010,"HADDOCK",310.615193484767
1970,"HERRING",360.25947206008
1971,"HERRING",342.002739532883
1972,"HERRING",393.23925630813
1973,"HERRING",453.188936384027
1974,"HERRING",244.955319340266
1975,"HERRING",305.494945791741
1976,"HERRING",377.42373489878
1977,"HERRING",392.178018494041
1978,"HERRING",432.73729427416
1979,"HERRING",0
1980,"HERRING",240.428680259331
1981,"HERRING",443.788802635854
1982,"HERRING",363.320087241823
1983,"HERRING",330.38095384135
1984,"HERRING",349.405961379644
1985,"HERRING",309.769943029608
1986,"HERRING",299.950301575215
1987,"HERRING",279.795899452623
1988,"HERRING",284.78779268777
1989,"HERRING",341.428430514185
1990,"HERRING",290.797086130162
1991,"HERRING",331.493339008478
1992,"HERRING",338.847885332368
1993,"HERRING",359.960347673364
1994,"HERRING",268.34283442902
1995,"HERRING",247.4542797375
1996,"HERRING",243.542135957048
1997,"HERRING",245.644292319087
1998,"HERRING",226.267428038731
1999,"HERRING",220.793684857573
2000,"HERRING",209.486525187716
2001,"HERRING",200.643378844218
2002,"HERRING",175.21655165175
2003,"HERRING",203.991139002923
2004,"HERRING",189.582327817527
2005,"HERRING",194.987173334415
2006,"HERRING",194.051249547248
2007,"HERRING",233.412092882408
2008,"HERRING",243.744387771373
2009,"HERRING",201.336949925544
2010,"HERRING",155.869512269026
1970,"REDFISH UNSEPARATED",187.09811836677
1971,"REDFISH UNSEPARATED",308.225189692682
1972,"REDFISH UNSEPARATED",181.224484617707
1973,"REDFISH UNSEPARATED",221.270089780236
1974,"REDFISH UNSEPARATED",227.442393014233
1975,"REDFISH UNSEPARATED",304.940153635095
1976,"REDFISH UNSEPARATED",290.011177201976
1977,"REDFISH UNSEPARATED",285.05846858763
1978,"REDFISH UNSEPARATED",330.426492089365
1979,"REDFISH UNSEPARATED",389.55599536307
1980,"REDFISH UNSEPARATED",250.727413193936
1981,"REDFISH UNSEPARATED",275.178508578023
1982,"REDFISH UNSEPARATED",306.773100442442
1983,"REDFISH UNSEPARATED",92.2366771121705
1984,"REDFISH UNSEPARATED",62.5771779146387
1985,"REDFISH UNSEPARATED",180.011502931306
1986,"REDFISH UNSEPARATED",211.189932195784
1987,"REDFISH UNSEPARATED",262.998857459373
1988,"REDFISH UNSEPARATED",177.467142842723
1989,"REDFISH UNSEPARATED",104.020725691971
1990,"REDFISH UNSEPARATED",137.513434445885
1991,"REDFISH UNSEPARATED",95.8134422894342
1992,"REDFISH UNSEPARATED",115.887789869313
1993,"REDFISH UNSEPARATED",143.24463195527
1994,"REDFISH UNSEPARATED",142.864659179364
1995,"REDFISH UNSEPARATED",301.382949260004
1996,"REDFISH UNSEPARATED",307.683428579008
1997,"REDFISH UNSEPARATED",335.40947467743
1998,"REDFISH UNSEPARATED",221.273382499408
1999,"REDFISH UNSEPARATED",153.836045339966
2000,"REDFISH UNSEPARATED",138.508538106832
2001,"REDFISH UNSEPARATED",242.486176743037
2002,"REDFISH UNSEPARATED",184.602113876535
2003,"REDFISH UNSEPARATED",187.038556058757
2004,"REDFISH UNSEPARATED",154.954229210674
2005,"REDFISH UNSEPARATED",128.976532239153
2006,"REDFISH UNSEPARATED",63.2903462664289
2007,"REDFISH UNSEPARATED",59.6698494842061
2008,"REDFISH UNSEPARATED",79.0373458480375
2009,"REDFISH UNSEPARATED",119.22007001431
2010,"REDFISH UNSEPARATED",99.3051029065493
1970,"SANDLANCES",28.2139780300548
1971,"SANDLANCES",20.5231778822116
1972,"SANDLANCES",25.748594161218
1973,"SANDLANCES",28.8336204128815
1974,"SANDLANCES",30.245645945711
1975,"SANDLANCES",20.1677658030762
1976,"SANDLANCES",30.4115870287245
1977,"SANDLANCES",0
1978,"SANDLANCES",17.8336716150519
1979,"SANDLANCES",29.1686275803467
1980,"SANDLANCES",0
1981,"SANDLANCES",18.1772887691333
1982,"SANDLANCES",28.4737858799832
1983,"SANDLANCES",20.9863493807547
1984,"SANDLANCES",15.6608031321486
1985,"SANDLANCES",22.5606024968475
1986,"SANDLANCES",0
1987,"SANDLANCES",21.2521308157845
1988,"SANDLANCES",32.6084497066026
1989,"SANDLANCES",28.0104604511256
1990,"SANDLANCES",20.1455775454467
1991,"SANDLANCES",36.8364565189824
1992,"SANDLANCES",9.02767499637318
1993,"SANDLANCES",19.0251435040416
1994,"SANDLANCES",15.129258196848
1995,"SANDLANCES",23.7237859547932
1996,"SANDLANCES",16.3752266094462
1997,"SANDLANCES",21.9510288416683
1998,"SANDLANCES",24.5168613604566
1999,"SANDLANCES",18.1982882771154
2000,"SANDLANCES",19.4326708332669
2001,"SANDLANCES",20.3244786477386
2002,"SANDLANCES",19.2686187905649
2003,"SANDLANCES",17.9849291176946
2004,"SANDLANCES",19.9051573551634
2005,"SANDLANCES",18.5000363027792
2006,"SANDLANCES",19.760494555752
2007,"SANDLANCES",15.8731220152562
2008,"SANDLANCES",14.5110268911708
2009,"SANDLANCES",14.6722164260688
2010,"SANDLANCES",17.0841550936878
1970,"SILVER HAKE",132.254040643838
1971,"SILVER HAKE",133.634466014801
1972,"SILVER HAKE",114.797590024793
1973,"SILVER HAKE",110.556412432082
1974,"SILVER HAKE",145.289439521003
1975,"SILVER HAKE",118.889185823467
1976,"SILVER HAKE",160.917200323053
1977,"SILVER HAKE",192.245795747067
1978,"SILVER HAKE",171.278753432707
1979,"SILVER HAKE",172.444877201929
1980,"SILVER HAKE",157.703079795098
1981,"SILVER HAKE",178.010392667516
1982,"SILVER HAKE",77.9293613487104
1983,"SILVER HAKE",152.063162694552
1984,"SILVER HAKE",119.296168164653
1985,"SILVER HAKE",163.847820758899
1986,"SILVER HAKE",71.7219607539147
1987,"SILVER HAKE",88.2670903330872
1988,"SILVER HAKE",116.931105098688
1989,"SILVER HAKE",86.7380310994473
1990,"SILVER HAKE",114.709832286768
1991,"SILVER HAKE",112.665168448012
1992,"SILVER HAKE",128.562208055326
1993,"SILVER HAKE",75.7884917585199
1994,"SILVER HAKE",72.3896007656391
1995,"SILVER HAKE",109.460255375434
1996,"SILVER HAKE",102.069203957929
1997,"SILVER HAKE",66.57245910766
1998,"SILVER HAKE",91.0032467830563
1999,"SILVER HAKE",47.559426358465
2000,"SILVER HAKE",86.1575991198882
2001,"SILVER HAKE",79.9658936282746
2002,"SILVER HAKE",78.8905825178099
2003,"SILVER HAKE",52.4093363488692
2004,"SILVER HAKE",117.238856113783
2005,"SILVER HAKE",35.2828224449902
2006,"SILVER HAKE",56.6810516771792
2007,"SILVER HAKE",59.3641480778341
2008,"SILVER HAKE",74.0260369429701
2009,"SILVER HAKE",95.4775831114211
2010,"SILVER HAKE",65.1101209254412
1970,"SPINY DOGFISH",0
1971,"SPINY DOGFISH",0
1972,"SPINY DOGFISH",1704.96799774965
1973,"SPINY DOGFISH",2478.23213809684
1974,"SPINY DOGFISH",1513.74132691291
1975,"SPINY DOGFISH",0
1976,"SPINY DOGFISH",0
1977,"SPINY DOGFISH",0
1978,"SPINY DOGFISH",2854.46985467581
1979,"SPINY DOGFISH",0
1980,"SPINY DOGFISH",3662.4005877794
1981,"SPINY DOGFISH",3193.32105493414
1982,"SPINY DOGFISH",2330.73770613917
1983,"SPINY DOGFISH",1365.87045485407
1984,"SPINY DOGFISH",1185.8739525262
1985,"SPINY DOGFISH",1195.00109678106
1986,"SPINY DOGFISH",1276.45305386233
1987,"SPINY DOGFISH",533.20370344952
1988,"SPINY DOGFISH",1381.27807724242
1989,"SPINY DOGFISH",731.828148767374
1990,"SPINY DOGFISH",1090.1193900199
1991,"SPINY DOGFISH",505.605294015997
1992,"SPINY DOGFISH",1483.79626674032
1993,"SPINY DOGFISH",1478.44954641954
1994,"SPINY DOGFISH",1288.57402439542
1995,"SPINY DOGFISH",1492.0952026514
1996,"SPINY DOGFISH",467.615053873735
1997,"SPINY DOGFISH",1518.08125871748
1998,"SPINY DOGFISH",981.698763080734
1999,"SPINY DOGFISH",345.267438901045
2000,"SPINY DOGFISH",774.420785618303
2001,"SPINY DOGFISH",1523.15666551514
2002,"SPINY DOGFISH",1155.71778451886
2003,"SPINY DOGFISH",1390.58418983291
2004,"SPINY DOGFISH",1597.90300218386
2005,"SPINY DOGFISH",1681.82678835093
2006,"SPINY DOGFISH",1130.42570731871
2007,"SPINY DOGFISH",1108.55454159296
2008,"SPINY DOGFISH",1827.20049988963
2009,"SPINY DOGFISH",569.889313823594
2010,"SPINY DOGFISH",757.928067217
1970,"WHITE HAKE",934.096654804831
1971,"WHITE HAKE",540.627112255652
1972,"WHITE HAKE",1060.74184084557
1973,"WHITE HAKE",721.212337675117
1974,"WHITE HAKE",616.789154742718
1975,"WHITE HAKE",696.096413494295
1976,"WHITE HAKE",637.465924522074
1977,"WHITE HAKE",963.144437932507
1978,"WHITE HAKE",691.014872116213
1979,"WHITE HAKE",883.473657426898
1980,"WHITE HAKE",779.887505647295
1981,"WHITE HAKE",632.000828174324
1982,"WHITE HAKE",530.832770569025
1983,"WHITE HAKE",349.870488814053
1984,"WHITE HAKE",784.467817812816
1985,"WHITE HAKE",659.556667045935
1986,"WHITE HAKE",685.78334525559
1987,"WHITE HAKE",694.561263650302
1988,"WHITE HAKE",519.553225280114
1989,"WHITE HAKE",399.019626332837
1990,"WHITE HAKE",553.634045070793
1991,"WHITE HAKE",550.195652665805
1992,"WHITE HAKE",383.045443995982
1993,"WHITE HAKE",411.916433436891
1994,"WHITE HAKE",348.961874701973
1995,"WHITE HAKE",278.733477989106
1996,"WHITE HAKE",338.950508089306
1997,"WHITE HAKE",368.204402467043
1998,"WHITE HAKE",393.055211877985
1999,"WHITE HAKE",412.511878170704
2000,"WHITE HAKE",328.592794989836
2001,"WHITE HAKE",427.840655672875
2002,"WHITE HAKE",440.288374634886
2003,"WHITE HAKE",373.452013809908
2004,"WHITE HAKE",376.645566406852
2005,"WHITE HAKE",448.202947066967
2006,"WHITE HAKE",412.256576015067
2007,"WHITE HAKE",357.227577952193
2008,"WHITE HAKE",476.441689484358
2009,"WHITE HAKE",465.359414055456
2010,"WHITE HAKE",375.154272838288
1970,"WITCH FLOUNDER",249.992534049396
1971,"WITCH FLOUNDER",316.160221823018
1972,"WITCH FLOUNDER",296.878894217924
1973,"WITCH FLOUNDER",296.788232036359
1974,"WITCH FLOUNDER",309.097216609202
1975,"WITCH FLOUNDER",326.651547720479
1976,"WITCH FLOUNDER",355.491746266354
1977,"WITCH FLOUNDER",285.490122922002
1978,"WITCH FLOUNDER",310.469142054894
1979,"WITCH FLOUNDER",279.241422662531
1980,"WITCH FLOUNDER",297.766909508689
1981,"WITCH FLOUNDER",211.120078071522
1982,"WITCH FLOUNDER",259.260213870509
1983,"WITCH FLOUNDER",254.405812986238
1984,"WITCH FLOUNDER",241.593166749192
1985,"WITCH FLOUNDER",247.587491200777
1986,"WITCH FLOUNDER",248.612313949886
1987,"WITCH FLOUNDER",205.415691545679
1988,"WITCH FLOUNDER",128.35794550582
1989,"WITCH FLOUNDER",144.60990907465
1990,"WITCH FLOUNDER",129.811512911712
1991,"WITCH FLOUNDER",195.153301532908
1992,"WITCH FLOUNDER",116.686613366961
1993,"WITCH FLOUNDER",69.686131749133
1994,"WITCH FLOUNDER",60.825535124488
1995,"WITCH FLOUNDER",38.5821849975557
1996,"WITCH FLOUNDER",71.0084827246277
1997,"WITCH FLOUNDER",63.9683514497939
1998,"WITCH FLOUNDER",65.8865345758459
1999,"WITCH FLOUNDER",81.4760927104274
2000,"WITCH FLOUNDER",88.870364986823
2001,"WITCH FLOUNDER",113.226615799432
2002,"WITCH FLOUNDER",100.172184155301
2003,"WITCH FLOUNDER",98.8657265245017
2004,"WITCH FLOUNDER",124.828898531269
2005,"WITCH FLOUNDER",84.5611714389249
2006,"WITCH FLOUNDER",115.637965163697
2007,"WITCH FLOUNDER",88.7243341117118
2008,"WITCH FLOUNDER",98.7187992713066
2009,"WITCH FLOUNDER",144.064077712889
2010,"WITCH FLOUNDER",103.79243974381
1970,"YELLOWTAIL FLOUNDER",154.35482708981
1971,"YELLOWTAIL FLOUNDER",166.034905814139
1972,"YELLOWTAIL FLOUNDER",195.40335616522
1973,"YELLOWTAIL FLOUNDER",190.549533650363
1974,"YELLOWTAIL FLOUNDER",163.302293795635
1975,"YELLOWTAIL FLOUNDER",140.717246347911
1976,"YELLOWTAIL FLOUNDER",180.432194344041
1977,"YELLOWTAIL FLOUNDER",165.901651600308
1978,"YELLOWTAIL FLOUNDER",241.99431738501
1979,"YELLOWTAIL FLOUNDER",184.494466443512
1980,"YELLOWTAIL FLOUNDER",232.47227839374
1981,"YELLOWTAIL FLOUNDER",209.54964264404
1982,"YELLOWTAIL FLOUNDER",254.331408429837
1983,"YELLOWTAIL FLOUNDER",222.010910113971
1984,"YELLOWTAIL FLOUNDER",186.298215970436
1985,"YELLOWTAIL FLOUNDER",190.264479495861
1986,"YELLOWTAIL FLOUNDER",151.739952796161
1987,"YELLOWTAIL FLOUNDER",116.493470157476
1988,"YELLOWTAIL FLOUNDER",194.950428326397
1989,"YELLOWTAIL FLOUNDER",160.292474154898
1990,"YELLOWTAIL FLOUNDER",127.968042123503
1991,"YELLOWTAIL FLOUNDER",154.830368542125
1992,"YELLOWTAIL FLOUNDER",151.075415554893
1993,"YELLOWTAIL FLOUNDER",133.524020121964
1994,"YELLOWTAIL FLOUNDER",124.107473182394
1995,"YELLOWTAIL FLOUNDER",114.847729764053
1996,"YELLOWTAIL FLOUNDER",109.265034843553
1997,"YELLOWTAIL FLOUNDER",135.071742590516
1998,"YELLOWTAIL FLOUNDER",90.9599721170048
1999,"YELLOWTAIL FLOUNDER",112.152150999476
2000,"YELLOWTAIL FLOUNDER",107.124651274676
2001,"YELLOWTAIL FLOUNDER",126.345699630856
2002,"YELLOWTAIL FLOUNDER",109.803346774232
2003,"YELLOWTAIL FLOUNDER",117.981049716224
2004,"YELLOWTAIL FLOUNDER",91.0341959081658
2005,"YELLOWTAIL FLOUNDER",114.501748392721
2006,"YELLOWTAIL FLOUNDER",121.916124142357
2007,"YELLOWTAIL FLOUNDER",125.274041122912
2008,"YELLOWTAIL FLOUNDER",118.020997610481
2009,"YELLOWTAIL FLOUNDER",124.239097903087
2010,"YELLOWTAIL FLOUNDER",102.820535750055
