Year,AMERICAN PLAICE,COD (ATLANTIC) ,HERRING (ATLANTIC),ATLANTIC HALIBUT,REDFISH UNSEPARATED,"TURBOT,GREENLAND HALIBUT",HADDOCK,SANDLANCE,SILVER HAKE,SPINY DOGFISH,WHITE HAKE,WITCH FLOUNDER,YELLOWTAIL FLOUNDER
1970,144914533.7,83254270.01,413088257.5,1282248.47,404027042.3,714560.76,35451583.56,316495430.4,57450561.3,,17968638.19,11598829.11,76941523.77
1971,147755127.3,145030548.8,161636837,1058446.83,256335841.6,778202.28,25453251,628529,11993679.34,,7180008.25,14371044.1,65587644.44
1972,124226821.3,94959484.34,159296033,841525.31,158596533.3,682279.66,14909325.75,665145103.7,35768883.2,4043034.7,12202110.72,10383164.09,71329413.31
1973,117576693.8,244994920.5,505724205.1,1426227.18,126211142.3,407983.13,12590212.43,19421081.88,32612973.72,60559.84,13639377.73,20972597.56,73773336.04
1974,206898621.4,72688705.35,5399561.6,1231769.77,108898039.6,3287867.03,24025269.88,28247909.52,55875408.52,99870.14,24087446.57,42834038.17,99139250.65
1975,171581241.2,53856484.23,58547595.34,1571266.34,540416053.5,1362648.8,33031805.39,470701.72,6559215.16,,10319544.27,13745633.21,113777069.5
1976,211630487.8,71653654.69,3441872.6,4106588.18,115031578.8,480751.56,22569422.15,52080522.55,28827887.46,,17222461.82,7549603.21,77505559.22
1977,118782063.3,100694674.5,36024030.92,1788830.09,297311990.4,428915.64,84549467.2,74154.56,10394706.54,,20890189.64,8833682.27,202593786.6
1978,114411933.5,151583115.9,20440742.34,3103810.23,526256168.2,475848.44,117534466.5,24673.53,18058387.69,605326.49,17203039.92,7670955.42,49709980.77
1979,160534137.6,115162921.3,,4701930.1,95508930.28,809112.75,105682035.2,70572.23,67805905.04,,8486251.88,3800576.7,69297597.15
1980,187859742.7,143229344.3,444589.39,3990392.27,83639797.62,229325.28,149312808.7,9433.32,21905594.31,886993.09,11748021.57,7953472.93,50223795.15
1981,169830279.2,192917896.6,631004.14,4340044.04,48621024.67,208280.25,97858663.05,9211455.83,97915284.06,959447.12,38467185.85,8945139.17,76577157.23
1982,134484355.5,299451933.2,15647950.93,3379091.68,163854819.8,46678.61,119583149.9,135930.71,108399336.7,5197514.54,25319316.59,7123635.73,75240886.58
1983,123102223.7,369437561,51304353.82,1302884.2,71278575.08,179326.56,151461124.4,675269.38,80577949.13,2930981.45,31732905.55,9092325.47,48321267.96
1984,126195584.3,291159578.4,135192595.8,3319291.03,326166443,139986.06,155302906.1,800807.98,189316214.5,5318251.91,37560972.91,7829135.57,54855432.83
1985,109098453.7,259165375.5,122214995.1,1757880.59,149003163.1,215758.13,105388624.7,884873.71,157244137.8,99476041.06,51466084.86,10458263.89,55253744.91
1986,82920744.42,107510019.3,556783760.3,1316299.53,206703183.7,276235.92,128902705.7,79029.9,147837887.2,8529150.36,43887217.27,13498474.24,45250177.76
1987,83853688.59,133634316.5,1864394438,1694935.27,108864624.7,558880.73,79639396.09,9366001.68,168284092.8,2859230.05,16821822.84,5349873.02,56715620.95
1988,71333413.61,173654960,49633085.56,1159964.96,321349247.4,351583.33,131170080.4,139030780.1,123305498.1,7673072.52,22774571.38,6367512.81,46205675.55
1989,98797745.29,168214704.6,292104662.8,3865696.92,499610107,158833,83685944.32,22335587.89,44306655.79,1984049.28,22210101.2,12059896.65,53843903.69
1990,102471331,125319365.4,129252891.5,1629695.5,239286089.4,264826.28,94973460.2,1126225.34,102480426.6,702879.11,12891921.91,3678930.05,72533947.4
1991,121277776.2,59562021.15,496353644.3,2899368.26,340401476.5,1754754.24,145445790.6,235965333.2,65119614.59,1220085.6,12156428.41,5884878.98,76407601.12
1992,74902486.19,92690322.65,331664096.1,2914456.13,246408393.5,425873.07,68594619.92,2489560.42,25479832,7793835.12,11366261.33,5628297.34,76177667.78
1993,63333240.58,87405454.61,152668307.6,2789134.39,187755125.5,2940284.02,56331828.43,28245974.75,92782705.43,30527469.46,11556085.44,5520450.73,43131514.84
1994,57505612.86,36229556.25,2026310269,2017607.43,59634577.52,2548336.29,51985740.81,8479835.58,54861498.11,1437090,8743656.85,7170579.01,38969633.99
1995,88209439.06,41274157.29,1571699746,2168335.37,117400622.9,2679312.58,49158939.61,715730751.6,99907806.59,9831850.53,11882338.44,7136687.01,44393915.44
1996,72368990.24,29397432.41,773549555.5,1588342.81,136884538.2,8164427.78,67415875.43,34475525.21,131072238.1,1565186.41,11650616.39,8631384.9,37979897.63
1997,64304781.89,17085125.52,503299208.2,1461495.11,102485019.3,5801121.65,56530354.13,69104811,94242930.33,9299973.35,21076452.55,14486507.35,112568412.9
1998,92906610.06,32340732,1963374473,1377495.82,51518243.84,4146351.28,74390982.84,614479697.4,63197094.73,1016232.99,10336112.5,12159430.79,55652342.1
1999,79518100.43,34160072.4,3518598227,1241497.65,133719451,11905113.38,121457944.1,1461645028,55716744.82,2562918.71,6802665.62,17894646.14,65284764.25
2000,74512172.99,19106952.06,1814062342,760081.61,44122755.34,16538913.89,139825815.6,1239050449,63370497.98,1624988.96,11542327.42,11567976.25,50451266.08
2001,47470174.51,40499116.07,2314930040,1244856.67,74362437.2,8464154.25,110725741.6,912906339.3,52201586.33,648678.07,15504429.03,16824239.92,33952733.77
2002,65968957.22,34255030.66,1812817460,3010153.09,47993335.95,15097384.53,145361034.8,962526218.9,29279813.66,1136814.03,6549794.32,9153659.58,40356319.99
2003,89957422.75,13480356,2530310572,1350178.67,90575064.01,9919626.41,110343211.9,716847470.1,58946826.06,20324248.53,8006077.13,16489520.9,24862517.73
2004,90120216.61,10283361.98,3428434511,2309841.88,71697952.57,7680145.79,80420163.41,657025278.3,141146626.4,255955.16,5487557.06,9464519.81,58344141.49
2005,100651650.1,17164358.85,536650385.4,3963086.07,130221595.6,21429423.87,58749737.45,1423130649,49887529.58,8035840.82,11466087.14,18908815.07,40897669.73
2006,116558764.5,62679350.93,1735756392,4128519.34,192579699.5,17317520.63,144555497.8,658196526.9,89819045.6,307900.52,9427529.29,16749878.86,75667539.89
2007,77220334.59,65080765.14,294729432.9,5564073.65,111265643.5,12109622.66,116772506.4,370334010.5,54028201.52,81872.04,8190997.72,20420344.9,76097259.01
2008,76347644.57,16087354.51,690169072.9,4189863.38,267783362.5,39599271.81,68461306.84,537133835.7,46197625.91,24075.49,8170478.29,12530553.09,36926098.28
2009,66145270.94,113473372.6,648401137.5,4962564.96,367087780.9,13090657.56,224849268.2,252661554.1,112923841.5,490963.87,9429770.96,43003183.26,93121761.32
2010,55689961.14,63364679.86,1778894983,5894451.47,525160405.7,10908219.63,70929821.83,302161117.2,120285042.9,72597.62,9683304.07,15927378.23,64276188.07
2011,42137967.99,60630770.77,1042402407,4711947.57,451467310.7,10267671.9,52311243.78,310759451.3,183095237.4,113646.59,8009041.73,17736642.84,66918471.73
2012,38797283.44,12927054.03,1194682177,6523189.48,178832705.5,10804589.99,50610894.34,364708338.2,179349425.2,,3425576.73,16251147.77,53839862
2013,85389296.28,22587600.94,1781838127,8168409.91,152024120.8,7419659.14,71208402.88,112211810.4,99797283.35,506471.49,4690102.07,18143013.01,70815249.24
2014,17814385.65,65217212.32,1187711620,7123240.59,195219120,6229100.99,99302313.89,125662943.6,186600974.4,21354745.14,4312350.69,9920921.21,64566555.01
2015,30195493.81,10286853.43,2290736509,7150371.67,103184819.8,5841529.09,45923505.15,495144389.6,123808897.1,1460214.81,9834855.83,11077345.65,45747080.34
2016,20109483.68,44607428.27,2394857360,9339971.82,595476220,7636401.55,73364826.78,615939079.9,144146339.5,13361977.81,9142774.66,23334399.03,50698974.93
2017,24434447.6,19156176.28,2343986696,16072806.68,113882500.3,3324023,65119477.68,762980440.8,96288941.38,11039664.75,6009006.18,19748733.92,45280024.33
2018,78075.43,4948.68,57880299.94,166907.74,46400069.45,,10700291.68,,12248217.3,204127.21,24906.57,578850.49,95815.16