"AMERICAN PLAICE","COD(ATLANTIC)","HERRING(ATLANTIC)","ATLANTIC HALIBUT","REDFISH UNSEPARATED","TURBOT, GREENLAND HALIBUT","HADDOCK","SANDLANCES","SILVER HAKE","SPINY DOGFISH","WHITE HAKE","WITCH FLOUNDER","YELLOWTAIL FLOUNDER"
7.723e+09,8.8377e+10,1.22622e+11,4.64e+08,2.7155e+10,1.7e+07,9.273e+09,NA,1.64054e+11,1.2e+07,1.013e+09,5.241e+09,3.356e+09
1.3756e+10,7.89e+10,9.5366e+10,5.91e+08,5.0605e+10,2.1e+07,1.3318e+10,2.8e+07,1.22452e+11,NA,2.015e+09,1.6723e+10,1.557e+09
1.0087e+10,9.6453e+10,4.8275e+10,3.94e+08,4.1328e+10,1.1e+07,4.688e+09,NA,1.08844e+11,NA,1.768e+09,1.0653e+10,1.321e+09
1.2093e+10,8.472e+10,4.378e+10,3.73e+08,3.3047e+10,1.1e+07,4.391e+09,NA,2.69445e+11,3.25e+08,1.869e+09,1.3434e+10,1.374e+09
1.6314e+10,6.9892e+10,5.1464e+10,2.5e+08,2.6684e+10,3.5e+07,2.326e+09,NA,8.7639e+10,1e+06,1.696e+09,6.917e+09,7.03e+08
1.1451e+10,5.0133e+10,4.4816e+10,2.74e+08,2.4109e+10,2.9e+07,1.832e+09,NA,9.916e+10,1e+06,1.657e+09,8.591e+09,1.357e+09
1.0838e+10,4.6179e+10,4.4777e+10,2.92e+08,1.3647e+10,6.3e+07,1.348e+09,NA,9.0579e+10,NA,1.178e+09,5.401e+09,6.74e+08
7.308e+09,2.0994e+10,2.9856e+10,2.65e+08,1.462e+10,2.06e+08,3.24e+09,1.2e+07,3.1024e+10,1.6e+07,1.288e+09,2.01e+09,1.141e+09
6.244e+09,4.3393e+10,3.0178e+10,5.27e+08,1.3414e+10,5.04e+08,5.883e+09,NA,4.6226e+10,9e+06,1.232e+09,2.103e+09,1.241e+09
5.526e+09,5.5705e+10,6.375e+09,5.88e+08,1.1633e+10,8.79e+08,3.374e+09,NA,5.0594e+10,4.6e+07,8.87e+08,1.781e+09,1.799e+09
6.891e+09,7.7919e+10,1.8076e+10,7.1e+08,1.1765e+10,2.3e+08,1.4759e+10,NA,3.7971e+10,3.67e+08,1.296e+09,1.99e+09,2.236e+09
6.258e+09,8.3411e+10,2.5937e+10,6.29e+08,1.6491e+10,1.11e+08,1.9832e+10,NA,4.1115e+10,4.72e+08,1.199e+09,1.279e+09,2.662e+09
5.32e+09,8.2862e+10,1.3523e+10,8.18e+08,1.1745e+10,3e+07,1.5179e+10,NA,6.0135e+10,2.7e+07,1.227e+09,8.9e+08,2.411e+09
5.523e+09,7.4865e+10,1.5255e+10,9.65e+08,8.955e+09,1.5e+07,9.382e+09,NA,3.4358e+10,NA,1.346e+09,1.004e+09,2.102e+09
5.793e+09,7.7817e+10,1.3168e+10,1.068e+09,6.284e+09,1.6e+07,7.901e+09,NA,7.4259e+10,1e+06,1.23e+09,1.34e+09,2.29e+09
4.12e+09,8.4268e+10,1.3131e+10,1.226e+09,9.554e+09,1.5e+07,1.1166e+10,NA,7.5471e+10,2e+06,1.997e+09,1.746e+09,9.47e+08
3.09e+09,7.9092e+10,1.4328e+10,1.132e+09,7.622e+09,1.2e+07,1.639e+10,NA,8.2466e+10,2e+06,2.347e+09,2.383e+09,6.94e+08
4.623e+09,6.361e+10,1.1704e+10,6.99e+08,1.7541e+10,2.4e+07,3.439e+09,NA,6.1674e+10,5e+06,2.947e+09,2.725e+09,1.041e+09
3.087e+09,5.4799e+10,1.4108e+10,6.58e+08,1.4732e+10,2.7e+07,4.171e+09,NA,6.8455e+10,NA,1.501e+09,2.406e+09,9.89e+08
3.365e+09,5.3399e+10,1.4e+10,7.15e+08,1.6033e+10,2.9e+07,9.048e+09,NA,8.1672e+10,2.6e+07,1.715e+09,1.765e+09,1.459e+09
1.965e+09,4.9675e+10,2.4435e+10,6.48e+08,1.6515e+10,1e+07,6.976e+09,NA,6.6536e+10,7e+07,1.741e+09,1.337e+09,2.931e+09
2.8e+08,4.432e+10,2.115e+10,6.01e+08,2.5064e+10,1.9e+07,5.214e+09,NA,5.5156e+10,5e+06,1.517e+09,1.336e+09,1.371e+09
5.26e+08,4.1115e+10,1.705e+10,5.78e+08,2.4971e+10,2.4e+07,6.072e+09,NA,2.2601e+10,3e+06,1.272e+09,1.032e+09,1.374e+09
1.12e+08,5.072e+09,1.2329e+10,4.91e+08,1.797e+10,2.2e+07,1.26e+09,NA,1.8362e+10,1.7e+07,1.177e+09,5.32e+08,1.65e+09
1.1e+08,5.54e+08,5.351e+09,5.07e+08,1.6394e+10,3.7e+07,9.6e+07,NA,7.93e+09,3e+07,1.07e+09,2.78e+08,1.036e+09
3.59e+08,3.33e+08,7.982e+09,3.37e+08,8.135e+09,2.4e+07,1.2e+08,NA,1.6153e+10,1.7e+07,9.14e+08,3.15e+08,7.34e+08
6.19e+08,3.75e+08,1.985e+10,3.44e+08,3.891e+09,2.1e+07,2.02e+08,NA,2.3469e+10,NA,6.05e+08,3.86e+08,3.9e+08
9.48e+08,4.45e+08,2.6395e+10,3.84e+08,4.695e+09,2.7e+07,1.28e+08,NA,1.3212e+10,4.4e+07,4.7e+08,3.62e+08,7.7e+07
1.125e+09,5.74e+08,9.423e+09,3.9e+08,2.353e+09,3.5e+07,1.63e+08,NA,1.6509e+10,2.4e+07,4.34e+08,4.53e+08,3.2e+07
1.189e+09,6.46e+08,1.3471e+10,3.76e+08,4.622e+09,5.3e+07,7.8e+07,NA,9.017e+09,9.1e+07,3.84e+08,2.46e+08,4.7e+07
5.54e+08,4.26e+08,4.78e+09,3.22e+08,3.091e+09,5e+07,6.9e+07,NA,7.729e+09,3.2e+07,3.7e+08,2.57e+08,6e+06
2.84e+08,3.84e+08,7.974e+09,4.97e+08,5.082e+09,4.8e+07,1.08e+08,NA,9.638e+09,1.05e+08,3.77e+08,2.68e+08,8e+06
2.22e+08,3.61e+08,1.2391e+10,4.53e+08,3.605e+09,5.4e+07,1.12e+08,NA,1.3119e+10,2.29e+08,2.52e+08,3.27e+08,1.3e+08
3.03e+08,2.16e+08,5.317e+09,4.97e+08,3.855e+09,6e+07,3.5e+07,NA,1.0301e+10,NA,2.22e+08,4.93e+08,NA
1.14e+08,2.8e+08,9.893e+09,5.15e+08,2.72e+09,3.9e+07,2.5e+07,NA,1.279e+10,NA,1.65e+08,2.81e+08,1e+06
1.21e+08,2.81e+08,9.035e+09,4.43e+08,2.642e+09,7.2e+07,1.2e+07,NA,1.0825e+10,NA,2.31e+08,3.65e+08,NA
1.69e+08,2.77e+08,1.317e+10,4.25e+08,3.989e+09,5.8e+07,4.3e+07,NA,1.2086e+10,NA,1.94e+08,3.22e+08,1.22e+08
9.2e+07,2.12e+08,8.769e+09,4.85e+08,2.856e+09,6.6e+07,4.3e+07,NA,1.036e+10,NA,1.59e+08,3.49e+08,NA
2.7e+07,1.88e+08,3.438e+09,5.06e+08,2.219e+09,5.2e+07,1e+07,NA,1.1458e+10,NA,1.52e+08,2.63e+08,2e+06
3e+06,1.02e+08,1.5021e+10,6.07e+08,4.779e+09,4.6e+07,9e+06,NA,8.254e+09,NA,1.14e+08,1.4e+08,3e+06
3e+06,8.6e+07,9.874e+09,6.73e+08,5.751e+09,2.4e+07,1.1e+07,NA,8.044e+09,NA,1.53e+08,1.52e+08,NA
1e+06,6.5e+07,1.1489e+10,6.6e+08,3.458e+09,2.6e+07,1.9e+07,NA,7.816e+09,NA,1.12e+08,1.55e+08,NA
1.62e+08,1.08e+08,1.802e+09,7.53e+08,4.777e+09,3.9e+07,4.3e+07,NA,9.537e+09,NA,8.3e+07,1.95e+08,1.21e+08
2.43e+08,7.7e+07,2.971e+09,9.14e+08,2.571e+09,2.4e+07,4.6e+07,NA,7.917e+09,NA,1.28e+08,1.7e+08,3.8e+07
